Tweet Id,Ticker,Datetime,Text,Favs,RTs,Followers,Following,Is a RT,Sentiment
743006627339476992,amgn,2016-06-15 09:05:00,rt analyst actions breaking news aapl amgn ctl hig icfi kgc mdvn mnk,0.0,2.0,122.0,131.0,True,1
743003250769547264,amgn,2016-06-15 08:52:00,getting ready buy kite amgn,0.0,0.0,960.0,1227.0,False,1
742997336981405697,amgn,2016-06-15 08:29:00,iwm ishares u real estate etf last trade iwm ews amgn bspm,0.0,0.0,99.0,40.0,False,0
742996588574965760,amgn,2016-06-15 08:26:00,ipi ingersoll rand plc e p ipi ews amgn wynn,0.0,0.0,71.0,40.0,False,1
742995079288238080,amgn,2016-06-15 08:20:00,amgen’s amgn market perform rating reiterated leerink swann,0.0,0.0,421.0,10.0,False,1
742993185002127360,amgn,2016-06-15 08:12:00,gg gilead sciences inc investor opinions gg amgn iae acia,0.0,0.0,70.0,40.0,False,0
742987708558155777,amgn,2016-06-15 07:50:00,rt cpb campbell soup co investor opinions cpb upro amgn nke,0.0,1.0,967.0,6.0,True,1
742987142226415617,amgn,2016-06-15 07:48:00,cpb campbell soup co investor opinions cpb upro amgn nke,0.0,1.0,58.0,40.0,False,0
742985628346949633,amgn,2016-06-15 07:42:00,chk chesapeake energy corp chart chk amgn grcu labd,0.0,0.0,73.0,40.0,False,1
742984473214627840,amgn,2016-06-15 07:37:00,yesterday amgn refinanced dollars .8 billion debt pushing maturity 10 year raised addl dollars .1 billion new debt hmm,4.0,1.0,1845.0,381.0,False,1
742970079801925632,amgn,2016-06-15 06:40:00,amgn us vetr inc upgrades amgen inc amgn buy inc,0.0,0.0,2767.0,279.0,False,0
742961098673016833,amgn,2016-06-15 06:05:00,fxi galena biopharma inc tick fxi amgn tbt xiv,0.0,0.0,78.0,60.0,False,1
742960547528871937,amgn,2016-06-15 06:02:00,vetr users upgraded amgen inc strong buy rating 4.5 stars giving amgn target price dollars 72.76,0.0,0.0,149.0,198.0,False,0
742954175118594053,amgn,2016-06-15 05:37:00,amgn american manganese inc bid amgn infi amd hal,0.0,0.0,73.0,40.0,False,0
742941942686875650,amgn,2016-06-15 04:48:00,adap therapeutics mdt bsx tmo ew dxcm idxx nvta amgn sny lly bayry gild biib celg regn,1.0,0.0,0.0,0.0,False,0
742940283332100096,amgn,2016-06-15 04:42:00,amgn not afraid 2 make bigger deals stay disciplined last dollars .5 billion 4 dezima ph2 billion,0.0,0.0,1845.0,381.0,False,1
742937838929518596,amgn,2016-06-15 04:32:00,rt 3 safe dividend stocks pristine balance sheets,0.0,1.0,434.0,571.0,True,1
742926365607886848,amgn,2016-06-15 03:47:00,cvx chevron corp last trade cvx win sn amgn,0.0,0.0,71.0,40.0,False,1
742925113184509952,amgn,2016-06-15 03:42:00,bmy bristol myers squibb co message board posts bmy gg veu amgn,0.0,0.0,80.0,41.0,False,1
742924348906983425,amgn,2016-06-15 03:39:00,amgn amgen ceo volatile climate impacts deals – cnbc,0.0,0.0,945.0,9.0,False,1
742923721736757248,amgn,2016-06-15 03:36:00,amgn amgen inc message board posts amgn tree sds dlph,0.0,0.0,60.0,40.0,False,0
742908567288582145,amgn,2016-06-15 02:36:00,amgn open 152.74 high 153.48 low 151.64 close 152.99 volume 2.1 million change negative 0.09 0.06 percent,0.0,0.0,0.0,0.0,False,1
742899654224908288,amgn,2016-06-15 02:00:00,rt amgn max pain 155.00 maturity price equals 153.08 bullish,0.0,1.0,877.0,128.0,True,1
742898495648993280,amgn,2016-06-15 01:56:00,amgn max pain 155.00 maturity price equals 153.08 bullish,0.0,1.0,1025.0,8.0,False,1
742897178742394881,amgn,2016-06-15 01:51:00,db deutsche bank ag ask db bspm amgn supn,0.0,0.0,77.0,40.0,False,0
742895259516952576,amgn,2016-06-15 01:43:00,win investing gambling game know cards terms needed play,0.0,0.0,969.0,1474.0,False,1
742893921777246208,amgn,2016-06-15 01:38:00,amgn amgen inc quotes amgn dbc gild xle,0.0,0.0,70.0,40.0,False,1
